"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0A880","2019-09-10 00:00:00","6.000","208.000","0.600","25.900","0.870","1006.400","-99.000","0.000","-99.000","-99.000","-99.000","31.200","","22.000",""
"C0S950","2019-09-10 00:00:00","415.000","91.000","0.700","23.200","1.000","963.100","-99.000","0.000","-99.000","-99.000","-99.000","28.100","","21.900",""
"C0X270","2019-09-10 00:00:00","33.000","0.000","0.000","25.800","1.000","1005.600","-99.000","0.000","-99.000","-99.000","-99.000","34.100","","23.600",""
"C0R260","2019-09-10 00:00:00","76.000","0.000","0.000","25.900","0.940","999.500","-99.000","0.000","-99.000","-99.000","-99.000","29.700","","23.800",""
"C0U950","2019-09-10 00:00:00","1012.000","137.000","8.800","18.800","1.000","900.200","-99.000","0.500","-99.000","-99.000","-99.000","25.100","","18.800",""
"C0O860","2019-09-10 00:00:00","38.000","92.000","1.300","26.300","0.990","1003.700","-99.000","11.000","-99.000","-99.000","-99.000","34.100","","25.200",""
"C0S980","2019-09-10 00:00:00","901.000","293.000","1.400","20.900","1.000","911.000","-99.000","0.000","-99.000","-99.000","-99.000","25.300","","20.100",""
"C0X110","2019-09-10 00:00:00","20.000","110.000","1.000","28.000","0.950","1006.100","-99.000","2.500","-99.000","-99.000","-99.000","32.300","","26.800",""
"C0V310","2019-09-10 00:00:00","46.000","309.000","1.400","26.100","0.880","1002.200","-99.000","0.000","-99.000","-99.000","-99.000","33.100","","24.700",""
"C0G620","2019-09-10 00:00:00","110.000","248.000","0.900","26.000","0.960","996.300","-99.000","0.000","-99.000","-99.000","-99.000","33.200","","24.800",""
"C0AD50","2019-09-10 00:00:00","84.000","0.000","0.000","26.900","0.840","998.800","-99.000","0.000","-99.000","-99.000","-99.000","32.600","","23.500",""
"C0A9A0","2019-09-10 00:00:00","24.000","99.000","2.300","29.000","0.600","1005.400","-99.000","0.000","-99.000","-99.000","-99.000","33.800","","24.600",""
"C0O830","2019-09-10 00:00:00","127.000","118.000","0.500","24.900","0.990","994.700","-99.000","38.500","-99.000","-99.000","-99.000","33.200","","23.100",""
"C0S760","2019-09-10 00:00:00","1621.000","47.000","0.900","15.900","0.970","838.800","-99.000","0.000","-99.000","-99.000","-99.000","22.800","","15.700",""
"C0X160","2019-09-10 00:00:00","26.000","78.000","0.900","27.300","0.900","1005.700","-99.000","1.500","-99.000","-99.000","-99.000","33.100","","25.900",""
"C0C490","2019-09-10 00:00:00","157.000","0.000","0.000","27.700","0.710","990.200","-99.000","0.000","-99.000","-99.000","-99.000","33.800","","23.400",""
"C0F970","2019-09-10 00:00:00","145.000","113.000","0.900","27.000","0.830","990.900","-99.000","0.000","-99.000","-99.000","-99.000","32.300","","24.900",""
"C0M690","2019-09-10 00:00:00","33.000","200.000","2.000","27.100","0.860","1003.900","-99.000","0.000","-99.000","-99.000","-99.000","32.800","","25.000",""
"C0V690","2019-09-10 00:00:00","30.000","298.000","0.900","29.500","0.770","1005.400","-99.000","0.000","-99.000","-99.000","-99.000","30.900","","27.100",""
"C0Z210","2019-09-10 00:00:00","126.000","0.000","0.000","24.200","0.990","997.100","-99.000","0.000","-99.000","-99.000","-99.000","32.000","","22.600",""
"C0U770","2019-09-10 00:00:00","5.000","331.000","3.300","24.700","0.830","1008.900","-99.000","0.000","-99.000","-99.000","-99.000","29.600","","22.400",""
"C0Z080","2019-09-10 00:00:00","298.000","0.000","0.000","23.300","0.880","976.700","-99.000","0.000","-99.000","-99.000","-99.000","32.700","","21.000",""
"C0G640","2019-09-10 00:00:00","17.000","0.000","0.000","27.000","0.880","1007.800","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","26.200",""
"C0X200","2019-09-10 00:00:00","61.000","47.000","0.500","25.000","0.990","1001.900","-99.000","4.500","-99.000","-99.000","-99.000","33.600","","23.900",""
"C0U900","2019-09-10 00:00:00","63.000","269.000","1.000","25.700","0.940","1003.300","-99.000","0.000","-99.000","-99.000","-99.000","31.000","","21.400",""
"C0Z230","2019-09-10 00:00:00","31.000","286.000","3.700","25.900","0.760","1006.900","-99.000","0.000","-99.000","-99.000","-99.000","29.000","","24.100",""
"C0F9O0","2019-09-10 00:00:00","175.000","0.000","0.000","28.100","0.940","988.500","-99.000","0.000","-99.000","-99.000","-99.000","33.400","","26.300",""
"C0C540","2019-09-10 00:00:00","46.000","244.000","0.500","26.400","0.720","1002.700","-99.000","0.000","-99.000","-99.000","-99.000","33.300","","23.400",""
"C0G770","2019-09-10 00:00:00","15.000","215.000","1.100","28.900","0.930","1005.900","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","27.400",""
"C0A870","2019-09-10 00:00:00","685.000","133.000","2.700","22.000","0.850","931.400","-99.000","0.000","-99.000","-99.000","-99.000","27.100","","21.500",""
"C0R220","2019-09-10 00:00:00","23.000","56.000","1.000","26.800","1.000","1005.800","-99.000","0.000","-99.000","-99.000","-99.000","32.000","","24.800",""
"C0Z220","2019-09-10 00:00:00","589.000","263.000","1.900","21.500","0.990","946.000","-99.000","0.000","-99.000","-99.000","-99.000","28.000","","19.600",""
"C0D560","2019-09-10 00:00:00","147.000","199.000","0.700","26.500","0.830","991.800","-99.000","0.000","-99.000","-99.000","-99.000","33.700","","24.000",""
"C0I380","2019-09-10 00:00:00","258.000","198.000","0.400","25.500","0.990","978.900","-99.000","0.000","-99.000","-99.000","-99.000","33.600","","23.500",""
"C0Z020","2019-09-10 00:00:00","211.000","140.000","0.300","23.600","0.990","985.500","-99.000","0.000","-99.000","-99.000","-99.000","29.800","","21.700",""
"C0Z190","2019-09-10 00:00:00","62.000","295.000","0.700","25.900","0.960","1002.400","-99.000","0.000","-99.000","-99.000","-99.000","29.700","","24.800",""
